term	sentiment
abandon	-0.358155833
abandoned	-0.373045556
abandonment	-0.536018889
abase	-0.374194444
abduction	-0.612342222
aberration	-0.171541111
abhor	-0.6995525
abhorrence	-0.583372222
abhorrent	-0.75509
ability	0.368888333
able	0.002748672
ably	0.237197778
aboard	0.066666667
abolish	-0.133333333
abominable	-0.642172222
abomination	-0.85849
abrasion	-0.242577778
abrasive	-0.488888889
absent	-0.177777778
absentee	-0.307527778
absolutely	-0.015700668
absolve	0.218185833
absorbing	0.450224444
absurd	-0.311111111
absurdity	-0.324084444
absurdly	-0.311111111
abundance	0.355555556
abundant	0.623088889
abundantly	0.177777778
abuse	-0.632309167
abusive	-0.763109167
abysmal	-0.714216667
abysmally	-0.74012
academic	0.066666667
accept	0.269033333
acceptable	0.300804444
acceptably	0.250224444
acceptance	0.345497778
accessible	0.441314444
accident	-0.466804167
accidental	-0.26221
accidentally	-0.090753333
accolade	0.428002222
accommodate	0.271197778
accommodation	0.093533333
accomplish	0.399090833
accomplished	0.450382222
accomplishment	0.677682222
accost	-0.208877778
accurate	0.628038889
accurately	0.474735556
accusation	-0.456449167
accuse	-0.440378333
accused	-0.355555556
ache	-0.331085833
achievable	0.230421111
achieve	0.552114444
achievement	0.422222222
acidic	-0.435411111
acquit	0.18744
acrid	-0.273974444
acrimonious	-0.399916667
acrimony	-0.400312222
action	0.066666667
active	0.402404167
actively	0.316891111
actually	0.020241375
acumen	0.481232222
acute	-0.133333333
acutely	-0.07569
adaptability	0.11931
adaptable	0.244444444
addictive	-0.120437778
adept	0.503982222
adequate	0.162890833
adequately	0.008198889
adjustable	0.350944444
admirable	0.667918889
admirably	0.561335556
admiration	0.655068889
admire	0.601694167
admit	-0.016153333
admonish	-0.190477778
adopt	0.066666667
adorable	0.718249167
adorably	0.608198889
adore	0.652344167
adored	0.526086667
adroit	0.363754444
adroitly	0.516868889
advanced	0.382652222
advancement	0.566622222
advantage	0.383353333
adventure	0.34046
adventurous	0.562439167
adverse	-0.467408889
adversely	-0.302912222
advice	0.010027277
aerodynamic	0.160426667
affected	-0.046213333
affection	0.644316667
affectionate	0.548334167
affectionately	0.480025556
affirm	0.205814444
affirmation	0.451168889
afflict	-0.509048889
affliction	-0.465832222
affluent	0.422222222
afford	-0.119260999
affordable	0.422222222
affront	-0.273831111
afraid	-0.003838405
again	0.001411427
age	0.001366213
age-old	0.04001
aggravate	-0.485253333
aggravation	-0.506207778
aggression	-0.534154167
aggressive	-0.460095833
aggressively	-0.349775556
aghast	-0.477184167
agile	0.267667778
agitate	-0.381487778
ago	0.016690812
agog	0.339091111
agonize	-0.549080833
agonizing	-0.702459167
agonizingly	-0.582212222
agony	-0.684468889
agree	0.237583333
agreeable	0.495742222
agreement	0.215376667
aid	0.244444444
aimless	-0.113681111
aimlessly	-0.236245556
airy	0.082696667
alarm	-0.333333333
alarming	-0.478812222
alarmist	-0.271101111
alas	-0.309724444
alcoholic	-0.177777778
alert	0.044444444
alien	-0.277661111
alienate	-0.619935556
alienated	-0.375078889
alienation	-0.386073333
alive	0.024293343
all	-0.004043624
all-around	0.066666667
all-out	0.245041111
all-purpose	0.148768889
all-time	0.094926667
allegation	-0.425505556
allege	-0.244444444
alleged	-0.358227778
allegedly	-0.244444444
allergic	-0.421941111
alleviate	0.281434444
allow	0.17076
allowable	0.170567778
allure	0.311111111
almighty	0.422222222
almost	-0.001026964
alone	-0.030254462
aloof	-0.195704444
aloofness	-0.199087778
already	-0.030346454
also	0.001628168
altruistic	0.636765556
always	-0.003176012
am	-0.023297535
amateur	-0.333887778
amateurish	-0.216184444
amaze	0.474488333
amazing	0.87923
amazingly	0.70736
ambiguity	-0.125134444
ambitious	0.1210775
ambitiously	0.126086667
ambivalent	-0.280645833
ambush	-0.244444444
ameliorate	0.237197778
amiability	0.319257778
amicability	0.001736667
amicable	0.436765556
ample	0.396574444
amply	0.482102222
amputate	-0.244444444
amuse	0.451533333
